,0,1,2,3
0,Species,,,Reference
1,,Food,Feed,
2,Acheta domesticus,,,[47]
3,Alphitobius diaperinus,,,[48]
4,Cockroaches,,X,[49]
5,Hermetia illucens,X,,[36]
6,Musca domestica,x,,[50]
7,Tenebrio molitor,J,,[51]
